Country,Party system,Ruling party or coalition  Other parties,Last election
Serbia,Dominant-party,"SNS coalition (SPS, PS, SNP, SPO, NSS, SSD), SPS, PUPS, SDPS, SPP, SPO, DSHV, VMSZ, JS, ZS–USS–RS, ZeleniPSS, NPS–NLS, NADA (NDSS, POKS), ZLF, SRCE, DS, MI–GIN, MI–SN, EU, PSG–SDAS–PVD, USS Sloga",2023 (legislative)2022 (general)
Seychelles,Two-party,"Linyon Demokratik Seselwa (Seychelles National Party, Seychellois Alliance, SPSJD, SUP)United Seychelles",2020 (general)
Sierra Leone,Two-party,Sierra Leone People's PartyAll People's Congress,2023 (general)
Singapore,Dominant-party,"People's Action PartyWorkers' Party, Progress Singapore Party",2020 (general)
Sint Maarten,Multi-party,"Unified Resilient St. Maarten Movement, Democratic Party, Party for Progress [nl], Soualiga Action MovementNational Alliance, United People's Party, Nation Opportunity Wealth",2024 (general)
Slovakia,Multi-party,"Direction – Social Democracy, Voice – Social Democracy, Slovak National Party, NK/NEKAProgressive Slovakia, Slovakia–KÚ–ZĽ–NOVA, KDH, SaS (incl. OKS), Democrats",2023 (parliament)2024 (presidential)
Slovenia,Multi-party,"Freedom Movement, Social Democrats, The LeftSlovenian Democratic Party, New Slovenia, Democrats",2022 (parliament)2022 (presidential)
Solomon Islands,Multi-party,"OUR Party, People First Party, Kadere Party, pro-government independentsDemocratic Party, United Party, Party for Rural Advancement, Umi for Change, Democratic Alliance Party",2024 (general)
Somalia,Multi-party,"Union for Peace and Development PartyTayo, Himilo Qaran, Kaah, Wadajir, Ilays",2021–22 (parliament)2022 (presidential)
Somaliland,Multi-party,"Waddani, Justice and Welfare PartyKulmiye",2024 (presidential)2021 (parliament)
South Africa,Multi-party,"African National Congress, Democratic Alliance, IFP, PA, VF+, UDM, Al Jama-ah, Good, PAC, RISEProgressive Caucus (MK Party, EFF, ATM, UAT), ActionSA, ACDP, BOSA, NCC",2024 (general)
South Ossetia,Multi-party,"Nykhaz, People's Party, Communist PartyUnited Ossetia",2022 (presidential)2024 (parliament)
South Sudan,Dominant-party,"Sudan People's Liberation MovementSPLM-in-Opposition, South Sudan Opposition Alliance",2010 (general)
Spain,Multi-party,"PSOE, Sumar (SMR, IU, Podemos, CatComú, MM, Compromís, CHA, Més), ERC, EH Bildu, EAJ/PNV, Junts, BNG, CCaPeople's Party, Vox, UPN",2023 (general)
Sri Lanka,Multi-party,"NPP (Janatha Vimukthi Peramuna)Samagi Jana Balawegaya, ITAK, NDF, SLPP, SLMC, MJP, DTNA, ACTC, SLLP",2024 (presidential)2024 (parliament)
Sudan,Military junta,"Ongoing war between the Transitional Sovereignty Council and Rapid Support ForcesParliament dissolved, Forces of Freedom and Change, SPLM–N (al-Hilu), SLM (al-Nur)",Transition to democracySee also: Civil war
Suriname,Multi-party,"Progressive Reform Party, General Liberation and Development Party, Pertjajah LuhurNational Democratic Party, National Party of Suriname, Brotherhood and Unity in Politics",2020 (general)
Sweden,Multi-party,"Moderate Party, Christian Democrats, Liberals, Sweden DemocratsSocial Democratic Party, Left Party, Centre Party, Green Party",2022 (general)
Switzerland,Multi-party,"Swiss People's Party, Social Democratic Party, FDP.The Liberals, The CentreGreen Party, Green Liberal Party, Evangelical People's Party, Federal Democratic Union, Ticino League, MCG",2023 (general)
Syria,Transitionalgovernment,"Syrian Transitional Government (Hayʼat Tahrir al-Sham)No legislature formed,  Syrian Interim Government, Syrian Democratic Forces",None; see 2024 offensives
Taiwan (Republic of China)[f],Multi-party,"Democratic Progressive PartyKuomintang, Taiwan People's Party",2024 (presidential)2024 (legislative)
Tajikistan,Dominant-party,"People's Democratic Party, Agrarian Party, Communist Party Party of Economic Reforms, Democratic Party, Socialist Party",2020 (presidential)2020 (parliament)
Tanzania,Dominant-party,"Chama Cha MapinduziChadema, ACT–Wazalendo, Civic United Front",2020 (general)
Zanzibar,Dominant-party,"Chama Cha MapinduziACT–Wazalendo, ADC, AFP, TADEA",2020 (general)
Thailand,Multi-party,"PTP, BJT, UTN, DP, CTP, Prachachat, Kla Tham, CPP, TRP, PPRP–T, NDPPeople's Party, PPRP–P, TST, FP, TPP, TLP",2023 (general)
Togo,Dominant-party,"Union for the RepublicADDI, ANC, DMP, FDR",2020 (presidential)2024 (parliament)
Tokelau,Non-partisan,Independents (no political parties),2023 (general)
Tonga,Two-party,"Independents, Democratic Party of the Friendly Islands, Tongan noblesIndependents, Tonga People's Party",2021 (general)
Transnistria,Dominant-party,ObnovlenieNo parliamentary opposition; Transnistrian Communist Party,2021 (presidential)2020 (legislative)
Trinidadand Tobago,Two-party,People's National MovementUnited National Congress,2020 (general)
Tobago,Two-party,"Tobago People's PartyProgressive Democratic Patriots, Tobago Council of the PNM",2021 (legislative)
Tunisia,Dominant-party,"Non-partisan government; 25th of July Movement, Voice of the RepublicPeople's Movement, Democratic Patriots' Unified Party",2024 (president)2022–23 (parliament)
Turkey,Multi-party,"Justice and Development Party, Nationalist Movement Party, HÜDA PAR, DSPCHP, DEM, İYİ, Saadet–Gelecek, DEVA, YRP, DP, TİP, DBP, EMEP",2023 (president)2023 (parliament)
Turkmenistan,Dominant-party,"Democratic Party of Turkmenistan, Agrarian Party, TSTPNo parliamentary opposition",2023 (parliament)2022 (presidential)
Turks andCaicos Islands,Two-party,Progressive National PartyPeople's Democratic Movement,2021 (general)
Tuvalu,Non-partisan,Independents (no political parties),2024 (general)
Uganda,Dominant-party,"National Resistance MovementNational Unity Platform, FDC, Democratic Party, UPC, Justice Forum, PPP",2021 (general)
Ukraine,Multi-party,"Servant of the People, Platform for Life and Peace, For the Future, DoviraEuropean Solidarity, Batkivshchyna, Holos, Restoration of Ukraine, Svoboda",2019 (president)2019 (parliament)
United ArabEmirates,Non-partisan,Independents (no political parties),2023 (parliament)
United Kingdom,Multi-party,"Labour Party (incl. Labour Co-op) Conservative Party (opposition), Lib Dems, SNP, Sinn Féin, IA, Reform UK, GPEW, Plaid, SDLP, Alliance, TUV, UUP",2024 (general)
Northern Ireland,Multi-party,"Sinn Féin, DUP, Alliance, UUPSDLP, TUV, People Before Profit",2022 (parliament)
Scotland,Multi-party,"Scottish National PartyScottish Conservatives, Scottish Labour, Scottish Greens, Scottish Liberal Democrats, Alba Party",2021 (parliament)
Wales,Multi-party,"Welsh LabourWelsh Conservatives (official opposition), Plaid Cymru, Welsh Liberal Democrats",2021 (parliament)
United States,Two-party,"Republican Party (majority in U.S. House, U.S. Senate)Democratic Party",2024 (general)2023 (legislative)
Uruguay,Multi-party,"National Party, Colorado Party, Cabildo Abierto, Independent PartyBroad Front, Sovereign Identity",2024 (general)
Uzbekistan,Dominant-party[g],"Liberal Democratic Party, Milliy TiklanishPeople's Democratic Party, Adolat, Ecological Party",2023 (presidential)2024 (parliament)
Vanuatu,Multi-party,"UMP, RMC, LPV, GJP, NUP, VNDP, Laverwo, NamarakieanaVanua'aku Pati, RDP, Iauko Group, PPP, Nagriamel, PUDP, NCM, VLM, VPDP, UCM",2022 (general)
Vatican City,Non-partisan,Independents (no political parties),2013 (papal conclave)
Venezuela,Dominant-party,"GPPSB (PSUV, PPT, Tupamaro, MSV, PODEMOS, APC, MEP, ORA, UPP)PUD (AD, Copei, UNT, VP, PJ, MPV, Convergencia, EC, La Causa Я, PRVZL",2020 (parliament)2024 (presidential)
Vietnam,One-party,"Communist Party of Vietnam, Fatherland Front",2021 (parliament)
British Virgin Islands,Multi-party,"Virgin Islands PartyProgressive Virgin Islands Movement, NDP, Progressives United",2023 (general)
U.S. Virgin Islands,Multi-party,"Democratic PartyRepublican Party, Independent Citizens Movement",2022 (gubernatorial)2024 (general)
Wallis and Futuna,Non-partisan,Independents (no political parties),2022 (legislative)
Western Sahara,One-party,Polisario Front,2023 (legislative)
Yemen,Dominant-party,"General People's Congress[h]Al-Islah, Yemeni Socialist Party, Nasserist Unionist People's Organisation, Ba'ath Party",2012 (presidential)2003 (parliament)See also 2014–2015 takeover
Zambia,Multi-party,"United Party for National DevelopmentPatriotic Front, Party of National Unity and Progress",2021 (general)
Zimbabwe,Dominant-party,Zimbabwe African National Union – Patriotic FrontCitizens Coalition for Change,2023 (general)
